Year,"Agriculture, forestry & fishing",Mining & quarrying,Manufacturing,"Electricity, gas ,water supply & utility",Construction,"Trade, hotels, transport, communication and services related to broadcasting ","Financial,  real estate  &  professional  services ","Public administration, defence  and Other Services",GVA at Basic Price,GDP 
2011,323221.7164,64670.24937,350857.0543,44661.96922,182218.7489,330069.7205,395101.9976,225668.8402,1916470.296,2043496.291
2011,270231.3821,55462.63215,329936.5303,46631.13318,189095.7808,337631.4474,407657.0384,263656.9688,1900302.913,2029469.165
2011,505545.3389,65815.17671,334726.6737,47957.24231,197079.1481,351579.1704,343064.8699,245398.6612,2091166.281,2244852.229
2011,402948.8845,75087.31079,394465.3127,47417.65529,208940.8711,393835.7241,385053.4665,291257.2776,2199006.503,2418511.126
2012,360094.4597,75789.46713,374606.4309,54330.4401,203182.4057,394347.3145,461069.5904,263981.767,2187401.875,2313203.093
2012,302960.7921,59898.65525,395938.8808,52470.72118,202601.5575,403845.6369,479903.8209,304586.7442,2202206.809,2356953.275
2012,557596.7684,70446.72106,377768.4155,54453.29718,211962.6918,412552.3761,400489.21,271594.0838,2356863.564,2548377.826
2012,454454.4827,79707.16463,424523.1694,54095.18658,231618.2419,453240.3838,435169.4356,323411.7915,2456219.856,2725478.912
2013,407712.546,70645.48112,413130.914,62946.29259,221809.9958,427469.7404,533978.443,303684.0865,2441377.221,2565374.445
2013,350835.1992,63145.10359,424394.5191,65066.07918,224408.153,456945.8981,585665.6094,341392.0233,2511852.336,2686203.226
2013,670113.1839,74589.19503,416194.2792,64910.78117,231689.9227,480885.7042,459327.059,308435.35,2706145.181,2921070.044
2013,497710.9356,87414.56367,459731.8884,67231.4544,243561.908,509165.266,490537.1099,348423.9262,2703777.875,3060874.138
2014,460964.4272,95040.28028,471159.1579,69661.88155,247541.1584,508205.4424,620774.0982,334552.2077,2807898.654,2914393.224
2014,404349.9978,68894.14728,476473.8147,71640.89171,246390.441,517595.3447,695118.2536,390144.4861,2870607.377,3053982.031
2014,688922.9141,72719.58845,435194.6591,70690.69641,242325.3851,514665.7865,520846.5728,394998.0143,2940363.617,3184917.063
2014,539374.2206,71822.03117,495541.5169,70264.30551,242828.8882,567129.934,526607.7655,371841.1741,2885409.836,3314666.805
2015,499370.0874,90269.15761,530751.5066,83639.89022,253252.4357,553747.7708,690657.2788,371179.1941,3072867.321,3243543.361
2015,424241.2362,61138.11928,534068.6317,87112.00423,237074.174,541865.6168,773346.7882,433095.7534,3091942.324,3355884.424
2015,721066.2167,68977.18642,506026.7443,81633.5358,248149.3096,558605.3983,577563.7114,442647.7604,3204669.863,3476632.468
2015,582855.3166,73626.68981,575341.9164,82579.18169,252607.78,640294.0628,584570.0548,413144.136,3205019.138,3695813.625
2016,573091.6564,81934.46448,575996.9582,88421.81378,273537.9739,607115.5024,783003.3292,417100.7803,3400202.479,3639774.606
2016,485561.8655,60517.91025,575851.6061,89213.46001,262498.383,594623.8536,874052.5279,484122.2565,3426441.863,3754117.028
2016,801318.3016,76935.01109,554949.6324,88828.72233,274360.3387,619241.8759,619110.1838,503381.0592,3538125.125,3875006.702
2016,658690.1972,107420.5262,626923.1581,89245.00387,270473.4034,718174.6235,635270.5989,494233.212,3600430.723,4122770.679
2017,614682.3279,89446.64584,583783.621,106824.4181,287450.9567,672181.4816,867582.178,492026.7148,3713978.344,4007453.465
2017,544702.7961,69309.8652,633545.5284,107304.2776,280664.3834,661101.6647,944159.4321,544308.2261,3785096.174,4172121.664
2017,903484.6219,86182.05945,620419.9965,103949.5844,305758.7784,694315.3537,696274.8919,573664.3612,3984049.648,4326104.561
2017,734038.398,112849.2929,708858.4767,107022.72,324056.7133,785107.8625,698542.1443,559522.2435,4029997.851,4592624.082
2018,655799.1936,98201.68321,664844.0618,113835.8817,324955.0529,758987.2587,974228.6087,565871.003,4156722.744,4551223.558
2018,560416.2211,80475.98688,692529.8855,118456.4186,314756.1142,744889.8813,1068599.585,623661.4581,4203785.551,4647830.964
2018,924273.2589,97354.5994,673889.8382,113804.2958,345528.3487,778222.5063,785892.9567,649805.9734,4368771.777,4817412.509
2018,782357.7819,113289.7619,735502.189,110316.4039,359040.5683,860520.2559,793409.066,656245.4973,4410681.524,4954769.866
2019,712222,104945,694993,124751,350920,806915,1056866,637682,4489292,4918228
2019,608227,75826,687906,122547,325815,783108,1138695,723713,4465838,4920694
2019,1053034,92789,664294,115188,349232,821438,818382,760995,4675351,5173234
2019,883959,119543,728394,124030,358928,905193,828581,764128,4712757,5327693
2020,752767.7893,61585.55936,421746.1094,118150.3995,170610.7626,424739.4796,1010898.542,605507.4171,3566006.059,3808192.897
2020,655052.9412,62218.31418,699930.0936,118708.6155,298504.5474,702556.4064,1072755.92,670348.4886,4280075.327,4722068.151
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
